index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing,number_init
0,0.888,0.8804438666185147,2509.017749786377,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,full,,500,pca,0.05
0,0.8,0.7717414677276746,2501.057223558426,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,full,,500,pca,0.1
0,0.888,0.8853637535201184,2514.6353373527527,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,full,,500,pca,0.15000000000000002
0,0.808,0.7597785575768768,2450.886837720871,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,full,,500,pca,0.2
0,0.844,0.8507420653022332,2442.414309024811,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,full,,500,pca,0.25
1,0.868,0.8668891082394605,2293.727848291397,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,linear,,500,pca,0.05
1,0.868,0.8624975461910591,2306.046147584915,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,linear,,500,pca,0.1
1,0.868,0.8606128652823836,2258.7443771362305,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,linear,,500,pca,0.15000000000000002
1,0.816,0.8106802193889053,1892.9486997127533,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,linear,,411,pca,0.2
1,0.824,0.7892594877023066,2285.6279380321503,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,linear,,500,pca,0.25
2,0.636,0.6603803191489361,2198.159743785858,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,circular,,471,pca,0.05
2,0.828,0.8349894736842106,2322.545308828354,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,circular,,500,pca,0.1
2,0.904,0.9018480346131591,2355.464752674103,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,circular,,500,pca,0.15000000000000002
2,0.784,0.7820729517594143,2360.8721718788147,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,circular,,500,pca,0.2
2,0.832,0.8445652178274032,2367.9918892383575,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,circular,,500,pca,0.25
3,0.88,0.8826398121438286,2164.4614288806915,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,sca,,466,pca,0.05
3,0.896,0.9015139359430605,2332.8540592193604,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,sca,,500,pca,0.1
3,0.852,0.8596666308284922,2032.8784527778625,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,sca,,434,pca,0.15000000000000002
3,0.852,0.8541952474084263,2093.3061425685883,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,sca,,452,pca,0.2
3,0.848,0.8309666814377704,2293.9449644088745,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,sca,,500,pca,0.25
4,0.712,0.7235306719866328,2852.476772069931,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,full,381,pca,0.05
4,0.64,0.6450899588216662,2933.115669488907,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,full,397,pca,0.1
4,0.664,0.6750674304418985,3681.455760240555,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,full,500,pca,0.15000000000000002
4,0.664,0.6653552869081234,3709.83082818985,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,full,500,pca,0.2
4,0.656,0.6842708914267446,3335.979300737381,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,full,449,pca,0.25
5,0.756,0.7571305517404467,2827.340276002884,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,linear,500,pca,0.05
5,0.74,0.7457542545949625,2496.7153136730194,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,linear,434,pca,0.1
5,0.8,0.8148638742700599,2450.76798248291,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,linear,430,pca,0.15000000000000002
5,0.8,0.8163322261720481,2840.050932407379,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,linear,500,pca,0.2
5,0.716,0.7099586635586635,2601.470301389694,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,linear,457,pca,0.25
6,0.76,0.7774219972166986,2892.2661216259003,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,circular,475,pca,0.05
6,0.74,0.7648101425076691,2446.8727326393127,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,circular,415,pca,0.1
6,0.724,0.7587187627026678,2375.7449741363525,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,circular,408,pca,0.15000000000000002
6,0.708,0.7244586797984329,2351.7526507377625,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,circular,405,pca,0.2
6,0.68,0.7021178537956888,2788.2083344459534,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,circular,474,pca,0.25
7,0.796,0.8114750054813658,2865.202978372574,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,pairwise,500,pca,0.05
7,0.736,0.7295400381540984,2367.0774676799774,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,pairwise,417,pca,0.1
7,0.732,0.732501278937996,2873.222802877426,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,pairwise,500,pca,0.15000000000000002
7,0.736,0.7281013829583839,2315.2573034763336,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,pairwise,401,pca,0.2
7,0.732,0.747187224471435,2784.0721797943115,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,pairwise,490,pca,0.25
8,0.68,0.7203027278208652,1984.591581583023,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,sca,339,pca,0.05
8,0.688,0.6978830308529946,2932.5413370132446,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,sca,500,pca,0.1
8,0.692,0.7142429489611513,2208.8864793777466,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,sca,382,pca,0.15000000000000002
8,0.696,0.7095108150470218,2807.8605921268463,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,sca,488,pca,0.2
8,0.768,0.7913300383983706,2711.967095851898,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,sca,470,pca,0.25
9,0.64,0.6508056319036023,2809.9907891750336,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,full,407,pca,0.05
9,0.616,0.6182100928596437,2517.7948610782623,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,full,364,pca,0.1
9,0.676,0.6896612712137633,3179.2825694084167,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,full,461,pca,0.15000000000000002
9,0.632,0.6441978852556884,2754.728819847107,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,full,399,pca,0.2
9,0.616,0.619667349843274,3439.7184405326843,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,full,500,pca,0.25
10,0.788,0.7815075299085151,2669.803152322769,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,linear,500,pca,0.05
10,0.756,0.7644320040383644,2567.1306631565094,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,linear,483,pca,0.1
10,0.712,0.7142895110186326,2652.5298171043396,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,linear,500,pca,0.15000000000000002
10,0.692,0.693198920338324,2602.6812736988068,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,linear,500,pca,0.2
10,0.708,0.6969825174825176,2386.723380088806,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,linear,459,pca,0.25
11,0.664,0.6835651510692098,2684.547598838806,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,circular,500,pca,0.05
11,0.744,0.7609020534078859,2673.492623567581,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,circular,500,pca,0.1
11,0.636,0.640871724137931,2351.0589830875397,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,circular,438,pca,0.15000000000000002
11,0.696,0.7149695815421451,2683.199654340744,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,circular,500,pca,0.2
11,0.648,0.6721845367880873,2110.168888092041,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,circular,393,pca,0.25
12,0.74,0.7345816554809844,2290.325280189514,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,pairwise,431,pca,0.05
12,0.704,0.6775229317785092,2533.5958602428436,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,pairwise,477,pca,0.1
12,0.724,0.7288703837502624,1991.3030302524567,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,pairwise,377,pca,0.15000000000000002
12,0.78,0.7653279217790403,2267.084291934967,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,pairwise,428,pca,0.2
12,0.72,0.6966315822243632,2602.8654696941376,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,pairwise,500,pca,0.25
13,0.712,0.7336061488759733,2057.7204492092133,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,sca,383,pca,0.05
13,0.716,0.7521989827856026,2698.43168926239,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,sca,500,pca,0.1
13,0.776,0.7955661654135338,2685.9983327388763,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,sca,500,pca,0.15000000000000002
13,0.684,0.696003305637452,2571.791236639023,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,sca,478,pca,0.2
13,0.66,0.6829166419787109,2319.346901655197,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,sca,430,pca,0.25
14,0.676,0.6853643434446537,3355.151398420334,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,full,467,pca,0.05
14,0.664,0.6688073187895848,3269.514711856842,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,full,454,pca,0.1
14,0.592,0.5703929565278395,3149.5961010456085,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,full,435,pca,0.15000000000000002
14,0.664,0.6979253751296719,2240.9996831417084,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,full,319,pca,0.2
14,0.636,0.6177883425495423,3534.4390993118286,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,full,500,pca,0.25
15,0.768,0.7772137905191886,2669.0713074207306,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,linear,500,pca,0.05
15,0.696,0.6983328695114409,2639.132253408432,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,linear,500,pca,0.1
15,0.772,0.7853423206191606,2399.5050137043,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,linear,449,pca,0.15000000000000002
15,0.592,0.5799340755560786,2670.7775552272797,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,linear,500,pca,0.2
15,0.776,0.7840416558451161,2643.3660287857056,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,linear,500,pca,0.25
16,0.656,0.6716793505834602,2266.6784019470215,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,circular,403,pca,0.05
16,0.64,0.6378000535700039,1611.2567505836487,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,circular,290,pca,0.1
16,0.668,0.679312425685818,2589.622188091278,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,circular,466,pca,0.15000000000000002
16,0.716,0.7432145751930941,2791.252387046814,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,circular,500,pca,0.2
16,0.7,0.7126699493832621,2576.1554548740387,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,circular,464,pca,0.25
17,0.68,0.6682402117008988,2608.911126613617,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,pairwise,485,pca,0.05
17,0.696,0.7021169004476603,2688.654915332794,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,pairwise,500,pca,0.1
17,0.76,0.7411889429303772,2727.841591835022,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,pairwise,500,pca,0.15000000000000002
17,0.82,0.8324150482250163,2497.7717304229736,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,pairwise,464,pca,0.2
17,0.748,0.7463398294529079,2678.7574660778046,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,pairwise,500,pca,0.25
18,0.728,0.7506561740146646,2177.9594247341156,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,sca,395,pca,0.05
18,0.64,0.6440036067879761,1805.71870470047,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,sca,331,pca,0.1
18,0.744,0.7729066957543211,2725.364763736725,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,sca,500,pca,0.15000000000000002
18,0.68,0.6754775115196168,2747.136736392975,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,sca,500,pca,0.2
18,0.72,0.7317744406338564,2734.2217016220093,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,sca,500,pca,0.25
19,0.66,0.6542644510911709,3484.737930059433,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,sca,full,500,pca,0.05
19,0.684,0.6997515600852912,3476.4231271743774,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,sca,full,500,pca,0.1
19,0.632,0.6304727501346804,3155.1790668964386,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,sca,full,453,pca,0.15000000000000002
19,0.656,0.6722236030223646,3131.132349729538,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,sca,full,449,pca,0.2
19,0.648,0.6540394044410217,3480.492347240448,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,sca,full,500,pca,0.25
20,0.716,0.7300168857915337,2364.9847502708435,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,sca,linear,437,pca,0.05
20,0.676,0.6802144172845449,2696.0889003276825,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,sca,linear,500,pca,0.1
20,0.732,0.7410365878310088,2318.789949655533,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,sca,linear,424,pca,0.15000000000000002
20,0.712,0.7322856140350877,2362.5427906513214,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,sca,linear,437,pca,0.2
